,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
64,2012-11-02 00:00:00+00:00,232.4224,237.4,232.11,234.01,3374700,11.62112,11.87,11.6055,11.7005,67494000,0.0,1.0
65,2012-11-05 00:00:00+00:00,234.33,234.83,230.11,232.04,1846100,11.7165,11.7415,11.5055,11.602,36922000,0.0,1.0
66,2012-11-06 00:00:00+00:00,237.56,237.75,234.45,235.41,2661300,11.878,11.8875,11.7225,11.7705,53226000,0.0,1.0
67,2012-11-07 00:00:00+00:00,232.0608,235.66,229.42,235.65,3624200,11.60304,11.783,11.471,11.7825,72484000,0.0,1.0
68,2012-11-08 00:00:00+00:00,227.35,233.45,227.1,232.22,2982400,11.3675,11.6725,11.355,11.611,59648000,0.0,1.0
69,2012-11-09 00:00:00+00:00,226.31,230.97,224.6002,226.26,3092500,11.3155,11.5485,11.23001,11.313,61850000,0.0,1.0
70,2012-11-12 00:00:00+00:00,226.47,229.2199,225.41,226.59,2128800,11.3235,11.460995,11.2705,11.3295,42576000,0.0,1.0
71,2012-11-13 00:00:00+00:00,226.6,227.9,224.71,225.12,2629800,11.33,11.395,11.2355,11.256,52596000,0.0,1.0
72,2012-11-14 00:00:00+00:00,222.95,227.41,222.51,226.5,3034100,11.1475,11.3705,11.1255,11.325,60682000,0.0,1.0
73,2012-11-15 00:00:00+00:00,220.599,225.16,218.18,222.3,3404700,11.02995,11.258,10.909,11.115,68094000,0.0,1.0
74,2012-11-16 00:00:00+00:00,225.23,226.25,218.64,221.31,4352800,11.2615,11.3125,10.932,11.0655,87056000,0.0,1.0
75,2012-11-19 00:00:00+00:00,229.71,232.5,227.45,228.32,3591200,11.4855,11.625,11.3725,11.416,71824000,0.0,1.0
76,2012-11-20 00:00:00+00:00,233.78,233.82,229.5,230.0,2771700,11.689,11.691,11.475,11.5,55434000,0.0,1.0
77,2012-11-21 00:00:00+00:00,238.03,238.67,232.75,233.84,2959300,11.9015,11.9335,11.6375,11.692,59186000,0.0,1.0
78,2012-11-23 00:00:00+00:00,239.88,240.0,236.48,239.89,1776800,11.994,12.0,11.824,11.9945,35536000,0.0,1.0
79,2012-11-26 00:00:00+00:00,243.62,244.319,238.0,240.39,4178300,12.181,12.21595,11.9,12.0195,83566000,0.0,1.0
80,2012-11-27 00:00:00+00:00,243.4017,245.67,241.54,243.22,3048500,12.170085,12.2835,12.077,12.161,60970000,0.0,1.0
81,2012-11-28 00:00:00+00:00,247.11,247.23,241.504,242.45,2743400,12.3555,12.3615,12.0752,12.1225,54868000,0.0,1.0
82,2012-11-29 00:00:00+00:00,251.27,252.48,247.5,248.05,5310500,12.5635,12.624,12.375,12.4025,106210000,0.0,1.0
83,2012-11-30 00:00:00+00:00,252.05,252.65,248.27,250.38,3797400,12.6025,12.6325,12.4135,12.519,75948000,0.0,1.0
84,2012-12-03 00:00:00+00:00,250.3291,254.16,250.0,252.54,2990600,12.516455,12.708,12.5,12.627,59812000,0.0,1.0
85,2012-12-04 00:00:00+00:00,252.4881,253.0,248.66,249.94,3114700,12.624405,12.65,12.433,12.497,62294000,0.0,1.0
86,2012-12-05 00:00:00+00:00,253.96,255.55,250.38,252.44,2852200,12.698,12.7775,12.519,12.622,57044000,0.0,1.0
87,2012-12-06 00:00:00+00:00,253.37,255.17,251.51,253.0,3557900,12.6685,12.7585,12.5755,12.65,71158000,0.0,1.0
88,2012-12-07 00:00:00+00:00,253.2681,255.21,252.01,254.14,2170300,12.663405,12.7605,12.6005,12.707,43406000,0.0,1.0
89,2012-12-10 00:00:00+00:00,247.77,254.78,247.3,253.1,3503800,12.3885,12.739,12.365,12.655,70076000,0.0,1.0
90,2012-12-11 00:00:00+00:00,250.69,253.48,246.65,248.5,4185200,12.5345,12.674,12.3325,12.425,83704000,0.0,1.0
91,2012-12-12 00:00:00+00:00,251.76,254.36,250.06,251.07,2628100,12.588,12.718,12.503,12.5535,52562000,0.0,1.0
92,2012-12-13 00:00:00+00:00,251.25,254.54,250.02,251.11,2460200,12.5625,12.727,12.501,12.5555,49204000,0.0,1.0
93,2012-12-14 00:00:00+00:00,249.19,251.9,247.79,250.11,2526900,12.4595,12.595,12.3895,12.5055,50538000,0.0,1.0
94,2012-12-17 00:00:00+00:00,253.86,254.0,249.26,249.81,2277000,12.693,12.7,12.463,12.4905,45540000,0.0,1.0
95,2012-12-18 00:00:00+00:00,260.4,263.11,254.57,254.57,4961000,13.02,13.1555,12.7285,12.7285,99220000,0.0,1.0
96,2012-12-19 00:00:00+00:00,257.99,261.6699,257.68,261.3,2300000,12.8995,13.083495,12.884,13.065,46000000,0.0,1.0
97,2012-12-20 00:00:00+00:00,261.5,262.41,256.54,258.36,2584600,13.075,13.1205,12.827,12.918,51692000,0.0,1.0
98,2012-12-21 00:00:00+00:00,256.92,258.38,255.74,257.82,4704600,12.846,12.919,12.787,12.891,94092000,0.0,1.0
99,2012-12-24 00:00:00+00:00,258.62,259.5,256.96,257.3,984400,12.931,12.975,12.848,12.865,19688000,0.0,1.0
